Label,SMS
ham,"Em đã gửi báo cáo tài chính quý 2, anh kiểm tra hộ em có thiếu sót gì không?"
ham,"Nhớ tắt bếp ga trước khi đi ngủ nhé, hôm qua quên tắt rồi đấy."
ham,"Con đã nộp học phí cho kỳ mới rồi, bố mẹ yên tâm."
ham,"Chiều nay trời mưa to lắm, nhớ đi xe cẩn thận nhé!"
spam,"NÓNG! Duy nhất hôm nay: Mua xe máy Honda trả góp 0%, chỉ cần CMND. Liên hệ: 0909xxxxxx"
spam,Thông báo: Tài khoản Momo của bạn bị truy cập từ thiết bị lạ. Xác minh: momo-secure-login.online
spam,Bạn được chọn làm Tester iPhone 16 với thù lao 15tr/tháng. Đăng ký: apple-tester-vn.site
spam,Cảnh báo khẩn: SIM của bạn sắp bị khóa 2 chiều trong vòng 2 giờ tới. Xác thực: sim-verify-urgent.vn
spam,"SIÊU HOT! Đầu tư bitcoin chỉ 2tr, lãi 30tr sau 1 tháng. Liên hệ cố vấn: 0888xxxyyyy"
spam,Bạn đã trúng thưởng 100 triệu đồng! Soạn TT gửi 8888 để nhận giải.
ham,Mai họp lúc 9h sáng ở phòng họp lớn nhé mọi người.
spam,Tài khoản ngân hàng của bạn bị khóa. Bấm vào link sau để mở khóa ngay: http://fakebank.vn
ham,"Mẹ nấu cơm xong rồi, con về ăn nhé."
spam,Nhanh tay đăng ký gói data 4GB/ngày chỉ với 5.000đ. Soạn DK gửi 9999.
ham,"Thầy dạy toán có gửi bài tập về rồi đó, bạn làm chưa?"
spam,"Vay tiền nóng không cần thế chấp, duyệt trong 10 phút. Gọi ngay 0901234567."
ham,Bạn có thể gửi cho mình slide bài thuyết trình hôm qua được không?
spam,Bạn đã được chọn làm người may mắn! Nhận iPhone 14 miễn phí tại http://quatang247.vn
ham,Chiều nay có lớp học thêm tiếng Anh lúc 5h đó nha.
spam,Mua 1 tặng 1! Áp dụng cho tất cả sản phẩm mỹ phẩm hôm nay. Truy cập ngay!
ham,"Anh về tới nơi rồi, em ngủ ngon nha."
spam,Nhận 1.000.000 VNĐ miễn phí khi chơi game tại http://gamevip.fun
ham,"Hôm nay trời đẹp quá, mình đi cà phê không?"
spam,Thuê bao của bạn sắp bị khóa. Nạp tiền ngay để duy trì dịch vụ!
ham,Em đã nộp báo cáo thực tập cho thầy rồi nha.
spam,Tăng vòng 1 hiệu quả sau 7 ngày! Cam kết hoàn tiền nếu không hiệu quả!
ham,"Em nhớ mang USB tới lớp nha, mình cần copy tài liệu."
spam,Sở hữu xe SH 2024 chỉ với 0 đồng! Đăng ký ngay hôm nay!
ham,"Anh ơi, em đặt bàn ở quán Nhật lúc 7h tối nay nhé."
spam,Chúc mừng! Bạn là người trúng giải thưởng trị giá 200 triệu đồng!
ham,"Lịch học tuần sau có thay đổi, check mail giúp mình với."
spam,Tài khoản Zalo của bạn sẽ bị khóa. Bấm vào http://zalosecure.vn để xác minh ngay!
ham,Mình gửi bạn file báo cáo qua email rồi nhé.
spam,"Sim số đẹp, lộc phát, thần tài chỉ với 99k. Gọi 0989999999 để nhận ngay!"
ham,Chiều mai đi xem phim không? Có suất 17h30 đó.
spam,"Bạn đã nợ cước 1.200.000đ, liên hệ 19001000 để tránh bị cắt dịch vụ!"
ham,"Mẹ mua sầu riêng rồi, tối về ăn nha con!"
spam,Nhận ngay quà tặng trị giá 5 triệu đồng khi tải ứng dụng tại http://apptangqua.vn
ham,Nhớ đóng học phí môn Quản trị trước thứ Sáu tuần này nhé.
spam,Chỉ hôm nay! Mua điện thoại giảm giá 70%. Truy cập http://giamgia.vn
ham,"Tối nay đá bóng sân cỏ nhân tạo như cũ, 20h có mặt nha anh em."
spam,Tài khoản bạn đang bị đăng nhập ở thiết bị lạ. Xác minh tại http://an-toan.vn
ham,"Con gọi điện cho bà ngoại đi, lâu rồi không hỏi thăm bà."
spam,"Vay tiền không cần chứng minh thu nhập, nhận tiền sau 15 phút!"
ham,"Anh gửi em file thiết kế qua Google Drive rồi đó, check giúp anh nha."
spam,"Gói bảo hiểm nhân thọ siêu rẻ, chỉ 199k/năm! Đăng ký ngay!"
ham,Cậu nhận được sách chưa? Mình gửi hôm qua rồi đó.
spam,"Bạn đã vi phạm bản quyền, cần xác minh gấp tại http://baovebanquyen.vn"
ham,"Lát mình ghé mua cà phê, bạn có uống không?"
spam,Cảnh báo: Điện thoại bạn có virus! Làm sạch ngay tại http://virusclean.vn
ham,Sáng mai họp nhóm lúc 9h ở thư viện cũ nhé.
spam,"Đầu tư Bitcoin siêu lợi nhuận, lãi 300% chỉ sau 7 ngày!"
ham,"Chị ơi, em để quên ví trong xe chị rồi, cho em xin lại nhé."
spam,Bạn đã đăng ký thành công gói xem phim VIP. Phí 100.000đ sẽ trừ vào tài khoản.
ham,Thầy nhắn là tuần sau nghỉ học vì đi công tác rồi.
spam,Bạn có tin nhắn bí mật! Mở ngay: http://tinnhan.vip
ham,Cảm ơn bạn vì hôm nay đã giúp mình chuyển đồ nha.
spam,Sim thần tài lộc phát - mua 1 tặng 3 - chỉ hôm nay!
ham,"Lớp mình tổ chức dã ngoại cuối tuần này, đi không bạn?"
spam,Tặng 500.000đ khi giới thiệu bạn bè đăng ký vay tiền nhanh!
ham,"Mình đặt món rồi, bạn ghé tới quán trước nhé."
spam,Bấm vào đây để nhận ngay 2 vé xem phim miễn phí: http://xemphimfree.vn
ham,"Bố mẹ bảo con về ăn cơm sớm nhé, hôm nay có món con thích."
spam,Nhận tiền liền tay chỉ với CMND - vay nóng siêu tốc!
ham,"Anh gửi đơn xin nghỉ phép cho phòng nhân sự rồi, duyệt giúp anh nhé."
spam,"Bạn có đơn hàng chưa xác nhận, truy cập http://xacthucdonhang.vn ngay!"
spam,Chúc mừng bạn đã trúng thưởng 500 triệu đồng từ chương trình quay số may mắn! Vui lòng nhắn tin theo số 09xxx để nhận thưởng ngay!
ham,"Anh ơi, tối nay mình đi ăn ở quán quen nhé, 7h em qua đón."
spam,"Cần vay tiền nhanh? Chỉ cần CMND, giải ngân trong 5 phút, lãi suất 0%! Gọi ngay 1800xxxx!"
ham,"Mẹ ơi, con đi học về rồi, chiều nay con qua thăm mẹ nhé."
spam,"Tăng thu nhập dễ dàng với công việc online tại nhà, kiếm 20 triệu/tháng! Inbox ngay để biết thêm chi tiết."
spam,"Mua 1 tặng 1! Sản phẩm dưỡng da cao cấp giảm giá 70%, chỉ hôm nay! Truy cập www.xxx.com."
ham,"Cậu ơi, cuối tuần này rảnh không? Mình đi cà phê nhé!"
spam,"Cơ hội đầu tư vàng, lợi nhuận 200% trong 3 tháng! Liên hệ ngay qua Zalo 09xxxx."
ham,"Bố ơi, con vừa xong bài thi, cảm giác làm tốt lắm!"
spam,"Tải app XYZ ngay hôm nay, nhận ngay 500k vào tài khoản! Link: xyz.com/download."
ham,"Anh, em vừa mua vé xem phim tối nay, 8h ở rạp CGV nha."
spam,"Bạn đã được chọn tham gia chương trình khách hàng VIP, nhận ngay iPhone 15 miễn phí! Gọi 1900xxxx."
ham,"Chị ơi, em gửi bài báo cáo qua email rồi, chị check giúp em nha."
spam,"Khóa học làm giàu nhanh chỉ với 999k, đăng ký ngay để đổi đời! www.xxx.vn."
ham,"Mẹ ơi, tối nay con nấu cơm, mẹ muốn ăn món gì ạ?"
spam,"Cần bán gấp lô đất vàng, giá rẻ bất ngờ, chỉ 500 triệu! Liên hệ 09xxxx."
ham,"Anh ơi, em quên mang áo mưa, anh mang giúp em được không?"
spam,"Nhận ngay voucher 1 triệu khi mua sắm tại siêu thị ABC, chỉ hôm nay! www.abc.vn."
ham,"Cậu ơi, tớ vừa tìm được quán phở ngon lắm, mai đi thử nhé!"
spam,Tham gia ngay để nhận thẻ cào 100k miễn phí! Nhắn tin theo cú pháp DK gửi 9xxxx.
ham,"Chị ơi, em đến công ty rồi, chị đang ở phòng nào ạ?"
spam,"Cơ hội sở hữu xe SH chỉ với 10 triệu, trả góp 0%! Gọi ngay 1800xxxx."
ham,"Bố ơi, con vừa được điểm cao môn Toán, tối nay ăn mừng nhé!"
spam,"Mua bảo hiểm nhân thọ hôm nay, nhận ngay quà tặng 5 triệu! Liên hệ 09xxxx."
ham,"Anh ơi, em vừa xong ca làm, tối nay mình đi xem phim nha."
spam,"Cần tuyển cộng tác viên online, lương 15 triệu/tháng, không cần kinh nghiệm! Inbox ngay."
ham,"Mẹ ơi, con mua ít trái cây mang qua nhà, chiều mẹ rảnh không?"
spam,"Nhận ngay sim 4G miễn phí, data không giới hạn! Đăng ký tại www.xxx.com."
ham,"Cậu ơi, tớ gửi file tài liệu qua Zalo rồi, cậu xem giúp tớ nhé."
spam,"Chương trình khuyến mãi đặc biệt: Mua điện thoại giảm 50%, chỉ hôm nay! Gọi 1900xxxx."
ham,"Chị ơi, em vừa đặt hàng online, mai hàng tới chị nhận giúp em nha."
spam,"Kiếm tiền online dễ dàng, chỉ cần 2h mỗi ngày! Tham gia ngay tại www.xxx.vn."
ham,"Anh ơi, tối nay em nấu canh chua, anh về sớm ăn cơm nhé."
spam,"Cơ hội trúng xe hơi 2 tỷ, chỉ cần nhắn tin theo cú pháp TC gửi 9xxxx!"
ham,"Bố ơi, con vừa đăng ký lớp học bơi, tuần sau bắt đầu ạ."
spam,"Mua hàng trả góp 0%, không cần chứng minh thu nhập! Gọi ngay 1800xxxx."
ham,"Mẹ ơi, con vừa xong buổi họp, chiều nay con qua nhà ăn cơm nha."
spam,Tăng chiều cao 5cm chỉ trong 1 tháng với sản phẩm XYZ! Đặt hàng tại www.xxx.com.
ham,"Cậu ơi, mai rảnh không? Mình đi xem triển lãm tranh nhé."
spam,Nhận ngay 1 triệu khi mở tài khoản ngân hàng XYZ! Đăng ký tại www.xyz.vn.
ham,"Anh ơi, em vừa mua cái áo mới, tối nay anh qua xem đẹp không nha."
spam,"Cơ hội đầu tư cổ phiếu, lợi nhuận 300% trong 6 tháng! Liên hệ 09xxxx."
ham,"Chị ơi, em gửi báo giá qua email rồi, chị xem giúp em nhé."
spam,"Tham gia chương trình quay số may mắn, nhận ngay iPad Pro! Gọi 1900xxxx."
ham,"Bố ơi, con vừa thi xong môn Văn, cảm giác ổn lắm ạ!"
spam,"Sản phẩm giảm cân an toàn, giảm 5kg trong 7 ngày! Đặt hàng tại www.xxx.com."
ham,"Mẹ ơi, chiều nay con qua chở mẹ đi siêu thị nhé."
spam,"Cần bán gấp căn hộ cao cấp, giá chỉ 1 tỷ! Liên hệ ngay 09xxxx."
ham,"Anh ơi, em vừa đặt bàn ở quán ăn, 7h tối nay mình tới nhé."
spam,Nhận ngay 500k khi đăng ký khóa học online XYZ! Link: www.xyz.vn.
ham,"Cậu ơi, tớ vừa tìm được cuốn sách hay lắm, mai mượn cậu nhé."
spam,"Mua vé máy bay giá rẻ, chỉ từ 99k! Đặt ngay tại www.xxx.com."
ham,"Chị ơi, em vừa xong bài thuyết trình, chị xem giúp em nha."
spam,"Cơ hội trúng thưởng 1 tỷ đồng, nhắn tin ngay theo cú pháp DK gửi 9xxxx!"
ham,"Mẹ ơi, con mua ít bánh mang qua nhà, tối nay mẹ rảnh không?"
spam,"Vay tiền nhanh, giải ngân trong 5 phút, không cần thế chấp! Gọi 1800xxxx."
ham,"Anh ơi, em vừa tới sân bay, anh ra đón em nhé."
spam,Tham gia ngay để nhận voucher 2 triệu khi mua sắm tại XYZ! www.xyz.vn.
ham,"Cậu ơi, tớ vừa đăng ký lớp yoga, cậu có muốn đi cùng không?"
spam,"Sản phẩm làm đẹp da, trẻ hóa 10 tuổi chỉ trong 1 tuần! Đặt tại www.xxx.com."
ham,"Chị ơi, em gửi file hợp đồng qua email rồi, chị check nhé."
spam,Cơ hội sở hữu căn hộ cao cấp chỉ với 500 triệu! Gọi ngay 09xxxx.
ham,"Bố ơi, con vừa xong kỳ thi, tuần sau con về thăm bố mẹ ạ."
spam,Nhận ngay iPhone 15 khi tham gia chương trình khách hàng VIP! Gọi 1900xxxx.
ham,"Mẹ ơi, con vừa mua ít đồ ăn vặt, tối nay con qua nhà nhé."
spam,"Kiếm tiền online dễ dàng, lương 30 triệu/tháng! Inbox ngay để biết chi tiết."
ham,"Anh ơi, em vừa đặt vé concert, tối thứ 7 mình đi nhé."
spam,"Mua bảo hiểm xe hơi hôm nay, nhận ngay quà tặng 3 triệu! Gọi 1800xxxx."
ham,"Cậu ơi, tớ vừa tìm được quán cà phê view đẹp, mai đi thử nha."
spam,"Cơ hội đầu tư đất nền, lợi nhuận 500% trong 1 năm! Liên hệ 09xxxx."
ham,"Chị ơi, em vừa gửi báo cáo qua Zalo, chị xem giúp em nhé."
spam,"Tải app XYZ ngay, nhận 1 triệu vào tài khoản! Link: www.xyz.com/download."
ham,"Mẹ ơi, con vừa xong ca làm, tối nay con qua ăn cơm với mẹ nha."
spam,"Tham gia chương trình quay số, nhận ngay xe SH! Nhắn tin DK gửi 9xxxx."
ham,"Anh ơi, em vừa mua ít hoa quả, tối anh qua nhà ăn nhé."
spam,"Cần tuyển cộng tác viên online, lương 10 triệu/tháng, không cần kinh nghiệm! Inbox ngay."
ham,"Cậu ơi, tớ vừa xong bài tập, cậu muốn xem qua không?"
spam,"Mua hàng giảm giá 80%, chỉ hôm nay! Truy cập www.xxx.com ngay."
ham,"Chị ơi, em vừa tới văn phòng, chị đang ở đâu ạ?"
spam,"Cơ hội trúng thưởng 2 tỷ, chỉ cần nhắn tin theo cú pháp TC gửi 9xxxx!"
ham,"Bố ơi, con vừa được khen ở lớp, tối nay kể bố nghe nhé."
spam,"Vay tiền nhanh, lãi suất 0%, giải ngân trong 3 phút! Gọi 1800xxxx."
ham,"Mẹ ơi, con vừa mua ít đồ chơi cho em, chiều con mang qua nha."
spam,Nhận ngay voucher 1 triệu khi mua sắm tại siêu thị XYZ! www.xyz.vn.
ham,"Anh ơi, em vừa xong buổi họp, tối nay mình đi ăn nhé."
spam,"Sản phẩm tăng chiều cao, hiệu quả ngay sau 1 tháng! Đặt tại www.xxx.com."
ham,"Cậu ơi, tớ vừa tìm được quán trà sữa ngon, mai đi thử nhé."
spam,"Cơ hội sở hữu xe hơi chỉ với 100 triệu, trả góp 0%! Gọi 09xxxx."
ham,"Chị ơi, em vừa gửi file thiết kế qua email, chị xem giúp em nha."
spam,Tham gia ngay để nhận thẻ cào 200k miễn phí! Nhắn tin DK gửi 9xxxx.
ham,"Mẹ ơi, con vừa xong bài thi, chiều nay con qua thăm mẹ nhé."
spam,"Mua điện thoại iPhone giá sốc, chỉ 5 triệu! Đặt ngay tại www.xxx.com."
ham,"Anh ơi, em vừa đặt bàn ở quán lẩu, 7h tối nay anh tới nhé."
spam,"Kiếm tiền online dễ dàng, chỉ cần 1h mỗi ngày! Tham gia tại www.xxx.vn."
ham,"Cậu ơi, tớ vừa mua vé xem bóng đá, chủ nhật đi cùng tớ nha."
spam,"Cơ hội trúng thưởng iPhone 15 Pro Max, nhắn tin ngay theo cú pháp DK gửi 9xxxx!"
ham,"Chị ơi, em vừa xong ca làm, chị rảnh không em qua chơi."
spam,"Mua bảo hiểm nhân thọ, nhận ngay quà tặng 10 triệu! Gọi 1800xxxx."
ham,"Bố ơi, con vừa được điểm cao môn Anh, tối nay con kể bố nghe nha."
ham,Tối nay mình ăn lẩu không?
spam,Bạn có tin nhắn chưa đọc! Truy cập http://tinnhanmoi.vn để xem.
ham,Cảm ơn cậu đã giúp tớ hôm nay nha.
spam,"Nhận quà sinh nhật từ nhà mạng, truy cập ngay!"
ham,Thầy đổi lịch học sang thứ 3 rồi nhé.
ham,Bạn đã nhận được tài liệu chưa?
ham,Đi cà phê chiều nay không?
ham,"Con chào mẹ, con đi học đây ạ."
ham,"Bố mẹ nhớ mặc áo ấm, ngoài Bắc lạnh lắm."
spam,Sim số đẹp phong thủy - đặt mua ngay!
spam,Tăng 10cm chỉ sau 7 ngày! Gọi 18001234 ngay!
ham,Nhớ làm bài tập Toán nộp trước thứ Sáu nhé.
spam,"Vay vốn lãi suất 0%, duyệt nhanh trong ngày!"
spam,Tăng follow Facebook cực nhanh - chỉ 99k/tháng!
ham,"Anh ơi, em tới nơi rồi, anh ra đón em nha."
ham,Bạn có định đi Đà Lạt cùng nhóm không?
ham,"Mình gửi báo cáo rồi nhé, kiểm tra giúp mình."
spam,Ứng tiền nhanh chỉ với 1 tin nhắn - Soạn UT gửi 9999!
spam,"Bạn có đơn hàng chưa thanh toán, xác nhận ngay: http://donhangxacnhan.vn"
spam,Đầu tư 1 triệu - nhận lãi 5 triệu trong 1 tuần!
ham,"Mai có kiểm tra tiếng Anh, đừng quên học bài."
ham,"Nhớ sạc pin điện thoại nhé, kẻo lại hết giữa buổi."
spam,"Sở hữu sim tam hoa chỉ với 49k, số lượng có hạn!"
spam,Tham gia chơi game kiếm tiền mỗi ngày tại http://gamekiemtien.vn
ham,Cô giáo dặn mai mang theo bản đồ Việt Nam đó.
spam,Bạn được hoàn tiền 500.000đ. Kiểm tra tại http://hoantien.vn
spam,Đăng ký gói học tiếng Anh online chỉ 5.000đ/ngày!
spam,Bạn vừa trúng voucher 500k! Nhận ngay tại http://vouchertrung.vn
ham,"Chị ơi, mai có họp phụ huynh lúc 7h30 nha."
ham,"Con vừa thi xong, giờ đang về nhà."
spam,"Tài khoản ngân hàng bạn bị treo, click vào http://khoataikhoan.vn để mở khóa."
ham,"Em để quên sách trên bàn, nhớ cầm giúp em."
spam,"Khuyến mãi khủng, giảm giá 90%! Truy cập http://giamgiatoanbo.vn"
spam,Làm giàu không khó với đầu tư tài chính! Tham gia tại http://lamgiau.vn
spam,Soạn DK gửi 8888 để nhận quà tri ân trị giá 1 triệu đồng!
ham,Gửi chị địa chỉ để em ship hàng đến nha.
spam,Chúc mừng! Bạn là người may mắn nhận được xe máy SH!
ham,Cậu có đi học thêm chiều nay không?
ham,"Con mua thêm bánh mì nhé, nhà hết rồi."
spam,Bí quyết trắng da sau 3 ngày! Mua ngay hôm nay!
ham,Anh đang ở đâu? Em đợi ở quán cà phê rồi.
spam,CHÚC MỪNG! Bạn đã trúng 500.000.000đ! Gọi ngay 0912345678 để nhận thưởng!
ham,"Mai họp lúc 9h sáng nhé, nhớ chuẩn bị tài liệu."
spam,Cơ hội vàng đầu tư sinh lời 30%/tháng! Liên hệ ngay: 0987654321
ham,Tối nay đi ăn lẩu không? Rủ thêm mấy đứa nữa nhé.
ham,"Con đã về đến nhà an toàn, mẹ đừng lo."
spam,ĐẶC BIỆT: Thanh lý iPhone 15 Pro Max chỉ với 2 triệu đồng! Số lượng có hạn!
ham,Anh nhớ mua sữa khi về nhà nhé.
spam,Tài khoản của bạn sắp bị khóa! Vui lòng xác thực lại tại link: bit.ly/xacthuc
ham,"Hôm nay tớ có việc bận, hẹn gặp lại vào thứ 7 nhé."
spam,GẤP! Thẻ ngân hàng của bạn đã bị khóa. Gọi 19001234 để kích hoạt lại!
ham,Chuyển anh số tài khoản của em: 19025678909876
spam,Mua 1 tặng 2! Sale sốc chỉ hôm nay! Truy cập ngay: shopee.vn/sale
ham,Nhớ đón con lúc 5h chiều nay nhé.
spam,Bạn đã được chọn nhận IPHONE 14 miễn phí! Trả lời tin nhắn này trong vòng 24h!
ham,Cảm ơn anh đã giúp em hôm qua.
spam,KHẨN CẤP: Chúng tôi phát hiện giao dịch lạ từ tài khoản của bạn. Xác nhận tại: secure-bank.tk
ham,"Em nộp báo cáo rồi, anh kiểm tra giúp em nhé."
spam,"Vay tiền nhanh chóng, lãi suất thấp, giải ngân trong 30 phút! Gọi 0909090909"
ham,"Tài liệu anh gửi em đã nhận được, cảm ơn anh nhiều."
spam,Bạn có 1 gói quà chưa nhận! Vui lòng truy cập: qua.vn/nhanqua và nhập mã: BXH78
ham,Hôm nay lương đã về tài khoản chưa chị?
spam,HOT! Mua bảo hiểm nhân thọ chỉ từ 100k/tháng. Liên hệ tư vấn: 0912121212
ham,Nhớ mang theo CMND khi đến văn phòng nhé.
spam,"Quỹ đầu tư ABC cần gấp 10 người góp vốn, lợi nhuận 50%/năm. Liên hệ ngay!"
ham,"Tí nữa đến đón em nhé, em đợi ở cổng trường."
spam,"NÓNG! Cơ hội việc làm lương 2000$, làm online tại nhà. Đăng ký: job.tuyendung.site"
ham,Chúc mừng sinh nhật! Tối nay tớ ghé qua chơi nhé?
spam,THÔNG BÁO: Sim của bạn sẽ bị khóa sau 24h. Đến cửa hàng gần nhất để cập nhật thông tin!
ham,Anh đã đặt vé máy bay cho chuyến đi Đà Nẵng rồi nhé.
spam,Bạn đã trúng vé xem concert BLACKPINK! Xác nhận tại: ve.xyz.com
ham,"Em đang ở siêu thị, anh cần mua gì không?"
spam,Thông báo: Tài khoản ngân hàng của bạn có vấn đề! Gọi ngay số này: 1900xxxx
ham,Nhớ gửi email báo cáo trước 5h chiều nhé.
spam,Giảm 70% tất cả sản phẩm! Chỉ diễn ra trong hôm nay! Shop.discount.com
ham,"Con nhớ ăn cơm đúng giờ, đừng thức khuya quá nhé."
spam,Bạn có khoản nợ KHÔNG ĐÚNG HẸN. Vui lòng thanh toán ngay tại: pay.secure-deb.vn
ham,"Tài liệu họp đã được gửi vào email của mọi người, mọi người check nhé."
spam,"THÔNG BÁO: SIM của bạn sẽ bị khóa 2 chiều, vui lòng bổ sung thông tin tại: sim-xacthuc.com"
ham,"Anh gửi em file Word vừa rồi có lỗi, anh gửi lại em nhé."
spam,Chỉ 500K sở hữu ngay đồng hồ thông minh Apple Watch! Mua ngay: appleshop247.com
ham,Ông bà có khỏe không? Cuối tuần này con về thăm nhà.
spam,Cảnh báo: Tài khoản Facebook của bạn đang bị đánh cắp! Xác thực lại: fb-secure.xyz
ham,"Mai em phải đi công tác, có thể phải hoãn cuộc họp."
spam,BÍ MẬT làm giàu từ chuyên gia tài chính quốc tế! Tham gia khóa học: tienganh.richfast.edu
ham,Chị gửi em số tài khoản để em chuyển tiền nhé.
spam,Trúng thưởng 100 triệu từ chương trình quay số Viettel! Liên hệ: 0998887777
ham,Báo cáo tuần này anh nộp trễ một ngày được không ạ?
spam,CẢNH BÁO: Thẻ tín dụng của bạn sắp hết hạn! Cập nhật thông tin: secure.cards-renew.com
ham,"Em đã gửi hàng, anh nhận được thì báo em nhé."
spam,Thu nhập 50 triệu/tháng với công việc online 2h/ngày! Đăng ký: jobs.online365.xyz
ham,Chiều nay anh có thể đón con không? Em có việc đột xuất.
spam,Mua 2 tặng 1 tất cả sản phẩm! Sale lớn nhất năm! Mua ngay: shopking.sale
ham,Bác sĩ hẹn tái khám vào thứ 5 tuần sau nhé chị.
spam,Tài khoản ngân hàng của bạn bị đóng băng! Xác minh ngay: bank-verify.online
ham,Anh đã nhận được giấy tờ chưa? Em gửi qua bưu điện rồi.
spam,Bạn là người may mắn nhận được iPhone 15 miễn phí! Nhận ngay: lucky-win.site
ham,"Tối nay có họp phụ huynh lúc 7h, anh nhớ đi nhé."
spam,KHẨN CẤP: Thuê bao của bạn sẽ bị khóa! Đến điểm giao dịch gần nhất để cập nhật thông tin.
ham,Chìa khóa xe anh để ở đâu vậy? Em tìm không thấy.
spam,"Ứng tiền nhanh chỉ với CMND, giải ngân trong 15 phút! Liên hệ: 0909090909"
ham,"Hôm nay trời mưa, nhớ mang ô khi ra ngoài nhé."
spam,Bạn đã đủ điều kiện vay 50 triệu không cần thế chấp! Đăng ký ngay: vay.money.vip
ham,"Em gửi anh bản thiết kế mới, anh góp ý giúp em nhé."
spam,NÓNG: Cơ hội đầu tư sinh lời 200%! Chỉ nhận 10 nhà đầu tư đầu tiên! Liên hệ: 0912121212
ham,"Hôm nay anh về muộn, em ăn cơm trước nhé."
spam,SỐC: Giảm 90% tất cả khóa học online! Đăng ký ngay: edu.vip.study
ham,Cảm ơn anh đã giúp em giải quyết vấn đề hôm qua.
spam,Bạn có một gói hàng chưa nhận! Thanh toán phí giữ hàng tại: delivery-express.site
ham,"Em cần anh ký duyệt giấy tờ gấp, khi nào anh rảnh?"
spam,THÔNG BÁO: Hệ thống phát hiện đăng nhập lạ vào tài khoản ngân hàng! Xác minh: secure-bank.co
ham,Con đã đậu đại học rồi bố mẹ ơi!
spam,Cuộc gọi nhỡ từ ngân hàng! Gọi lại ngay số: 1900xxxx để giữ tài khoản!
ham,Anh nhớ mua thuốc cho mẹ khi về nhé.
spam,Chỉ hôm nay: Mua điện thoại giá gốc từ kho! Samsung chỉ 2 triệu! Gọi: 0998887777
ham,Em có thể gửi lại file Excel được không? File cũ bị lỗi rồi.
spam,CẢNH BÁO KHẨN: Tài khoản Momo của bạn sắp bị khóa! Xác thực: momo-verify.xyz
ham,Anh đã đặt bàn ở nhà hàng ABC lúc 7h tối nay rồi nhé.
spam,Bạn được tặng 500MB data miễn phí! Soạn DK gửi 9123 ngay!
ham,"Chị ơi, em trễ họp 15 phút, xin lỗi chị nhiều."
spam,Tặng MIỄN PHÍ khóa học tiếng Anh trị giá 5 triệu! Đăng ký: english.free-vip.edu
ham,"Báo cáo sức khỏe của bác: huyết áp ổn định, đường huyết bình thường."
spam,Thẻ tín dụng của bạn bị từ chối! Cập nhật ngay: card-service.online
ham,"Tôi đã hoàn thành bài thuyết trình, mai sẽ gửi cho sếp."
spam,CHÚC MỪNG! SĐT của bạn trúng 100 triệu! Liên hệ ngay: 0987654321
ham,Mai anh có đi họp không? Em chuẩn bị tài liệu.
spam,Đất nền giá rẻ chỉ 500k/m2! Đầu tư ngay kẻo lỡ! Liên hệ: 0909090909
ham,"Em đã xem xét hồ sơ, còn thiếu giấy tờ A và B."
spam,CƠ HỘI CUỐI! Vay không lãi suất 30 ngày đầu! Đăng ký: loan.quickmoney.vn
ham,Nhớ uống thuốc đúng giờ nhé anh.
spam,THÔNG BÁO: Tài khoản MBBank của bạn bị khóa! Mở khóa tại: mb-active.xyz
ham,Anh có thể gửi em địa chỉ công ty không?
spam,BÍ MẬT: Kiếm 10 triệu/tuần với phương pháp đầu tư mới! Tham gia ngay: investment.pro.vn
ham,Đơn hàng của bạn đã được xác nhận và sẽ giao trong 2-3 ngày tới.
spam,NÓNG! Sim của bạn sắp bị khóa 2 chiều! Cập nhật thông tin tại: sim-update.vn
ham,"Anh ơi, tài liệu họp chiều nay anh gửi em chưa?"
spam,Giảm 50% học phí khóa học Digital Marketing! Đăng ký ngay: digimar.edu.vn
ham,"Em đã chuyển khoản thanh toán tiền nhà, anh check giúp em."
spam,Tài khoản Facebook của bạn đã bị hack! Lấy lại ngay: facebook-secure.xyz
